epoch,train_loss,train_acc,eval_acc_top1,eval_acc_top5,examples_seen,effective_examples,effective_ratio,compute_ratio,train_seconds,images_per_sec,lr,mean_rank
136,3.208651,0.754064,0.62142,0.84532,1281024,393009,0.306793,0.640126,515.93,2482.94,0.00058741,0.0
137,3.204088,0.755337,0.6172,0.84294,1281024,391963,0.305976,0.63931,725.086,1766.72,0.00058216,0.0
138,3.193191,0.757833,0.61628,0.84446,1281024,390850,0.305107,0.638441,439.958,2911.7,0.0005769,0.0
139,3.18365,0.759555,0.61626,0.84286,1281024,389264,0.303869,0.637203,318.424,4023.02,0.00057164,0.0
140,3.180808,0.761235,0.61736,0.84172,1281024,388114,0.302972,0.636305,393.617,3254.49,0.00056636,0.0
141,3.16793,0.763085,0.6205,0.84656,1281024,387240,0.302289,0.635623,839.362,1526.19,0.00056108,0.0
142,3.167243,0.764413,0.62452,0.84712,1281024,386302,0.301557,0.634891,544.034,2354.68,0.00055579,0.0
143,3.157303,0.765987,0.62204,0.84736,1281024,384985,0.300529,0.633862,434.338,2949.37,0.0005505,0.0
144,3.151401,0.767479,0.62772,0.84778,1281024,383777,0.299586,0.632919,414.792,3088.36,0.0005452,0.0
145,3.15022,0.768791,0.62214,0.84542,1281024,383044,0.299014,0.632347,602.125,2127.5,0.00053989,0.0
146,3.134333,0.77132,0.62208,0.84678,1281024,380847,0.297299,0.630632,503.734,2543.06,0.00053458,0.0
147,3.128097,0.772512,0.62146,0.84472,1281024,380160,0.296763,0.630096,586.072,2185.78,0.00052927,0.0
148,3.123095,0.774059,0.62392,0.84426,1281024,379106,0.29594,0.629273,317.552,4034.07,0.00052395,0.0
149,3.120301,0.775842,0.62484,0.84708,1281024,377902,0.295,0.628333,352.784,3631.18,0.00051863,0.0
150,3.109691,0.777818,0.62156,0.8472,1281024,376079,0.293577,0.62691,355.041,3608.1,0.00051331,0.0
151,3.101958,0.779081,0.62706,0.84642,1281024,375421,0.293063,0.626397,340.117,3766.42,0.00050799,0.0
152,3.094027,0.781076,0.62672,0.84852,1281024,373599,0.291641,0.624974,318.873,4017.35,0.00050266,0.0
153,3.090536,0.782711,0.62328,0.84636,1281024,372337,0.290656,0.623989,316.174,4051.64,0.00049734,0.0
154,3.082397,0.784493,0.62744,0.84858,1281024,371078,0.289673,0.623006,467.674,2739.14,0.00049201,0.0
155,3.075726,0.785821,0.62572,0.84602,1281024,370612,0.289309,0.622643,366.674,3493.64,0.00048669,0.0
156,3.067552,0.787826,0.63052,0.85028,1281024,369602,0.288521,0.621854,425.801,3008.51,0.00048137,0.0
157,3.061708,0.789058,0.62756,0.85004,1281024,368231,0.287451,0.620784,357.736,3580.92,0.00047605,0.0
158,3.048322,0.792055,0.63362,0.85204,1281024,366525,0.286119,0.619452,359.174,3566.58,0.00047073,0.0
159,3.049643,0.792462,0.63,0.84922,1281024,365277,0.285145,0.618478,507.701,2523.18,0.00046542,0.0
