epoch,train_loss,train_acc,eval_acc_top1,eval_acc_top5,examples_seen,effective_examples,effective_ratio,compute_ratio,train_seconds,images_per_sec,lr,mean_rank
106,1.761857,0.810652,0.68834,0.87786,1281024,1281024,1.0,1.0,515.079,2487.05,0.0007376,0.0
107,1.759312,0.811271,0.69112,0.8805,1281024,1281024,1.0,1.0,516.334,2481.0,0.00073291,0.0
108,1.754613,0.812718,0.69152,0.87874,1281024,1281024,1.0,1.0,519.49,2465.93,0.00072818,0.0
109,1.75362,0.813083,0.69106,0.87974,1281024,1281024,1.0,1.0,519.682,2465.02,0.00072343,0.0
110,1.747976,0.81482,0.68844,0.87896,1281024,1281024,1.0,1.0,517.017,2477.72,0.00071865,0.0
111,1.745101,0.815359,0.68698,0.87716,1281024,1281024,1.0,1.0,517.06,2477.51,0.00071385,0.0
112,1.742016,0.815825,0.69018,0.8798,1281024,1281024,1.0,1.0,536.036,2389.81,0.00070903,0.0
113,1.738191,0.816654,0.69234,0.87824,1281024,1281024,1.0,1.0,522.028,2453.94,0.00070418,0.0
114,1.731503,0.81838,0.6923,0.88036,1281024,1281024,1.0,1.0,517.704,2474.43,0.00069931,0.0
115,1.73055,0.818824,0.68872,0.87784,1281024,1281024,1.0,1.0,517.27,2476.51,0.00069441,0.0
116,1.726381,0.820113,0.69074,0.88018,1281024,1281024,1.0,1.0,518.164,2472.24,0.0006895,0.0
117,1.723816,0.820679,0.69208,0.87972,1281024,1281024,1.0,1.0,514.581,2489.45,0.00068456,0.0
118,1.720961,0.821675,0.69194,0.87902,1281024,1281024,1.0,1.0,519.872,2464.12,0.0006796,0.0
119,1.718279,0.822759,0.68786,0.87598,1281024,1281024,1.0,1.0,528.551,2423.65,0.00067462,0.0
120,1.712695,0.823803,0.69504,0.88086,1281024,1281024,1.0,1.0,518.608,2470.12,0.00066962,0.0
121,1.709317,0.824721,0.69434,0.87994,1281024,1281024,1.0,1.0,516.056,2482.34,0.0006646,0.0
122,1.706352,0.825259,0.69276,0.87788,1281024,1281024,1.0,1.0,529.277,2420.33,0.00065956,0.0
