epoch,train_loss,train_acc,eval_acc_top1,eval_acc_top5,examples_seen,effective_examples,effective_ratio,compute_ratio,train_seconds,images_per_sec,lr,mean_rank
94,2.786064,0.748518,0.62802,0.84754,1281024,621511,0.485167,0.818501,484.936,2641.64,0.00079173,0.0
95,2.769294,0.7506,0.62568,0.8441,1281024,622510,0.485947,0.819281,499.474,2564.75,0.00078739,0.0
96,2.764032,0.751715,0.62966,0.84726,1281024,622848,0.486211,0.819544,502.359,2550.02,0.00078302,0.0
97,2.754398,0.753945,0.63022,0.847,1281024,623683,0.486863,0.820196,500.922,2557.33,0.00077861,0.0
98,2.745702,0.754988,0.63218,0.84812,1281024,623868,0.487007,0.820341,499.38,2565.23,0.00077418,0.0
99,2.732728,0.75679,0.63762,0.84912,1281024,625002,0.487892,0.821226,505.445,2534.45,0.00076971,0.0
100,2.723345,0.758407,0.63394,0.84698,1281024,625762,0.488486,0.821819,502.31,2550.27,0.00076521,0.0
101,2.710456,0.76056,0.62922,0.84498,1281024,626441,0.489016,0.822349,481.677,2659.51,0.00076068,0.0
102,2.695232,0.762325,0.62754,0.84462,1281024,627676,0.48998,0.823313,520.89,2459.3,0.00075612,0.0
103,2.686646,0.763684,0.63678,0.8496,1281024,628351,0.490507,0.82384,510.115,2511.24,0.00075154,0.0
104,2.676445,0.765566,0.63678,0.8508,1281024,629062,0.491062,0.824395,502.454,2549.54,0.00074692,0.0
105,2.665965,0.767462,0.63712,0.85014,1281024,629881,0.491701,0.825035,501.628,2553.73,0.00074228,0.0
106,2.655474,0.768638,0.63598,0.8477,1281024,630561,0.492232,0.825565,500.658,2558.68,0.0007376,0.0
107,2.640629,0.770953,0.63644,0.8483,1281024,631777,0.493181,0.826515,502.099,2551.34,0.00073291,0.0
108,2.635566,0.771591,0.63526,0.84708,1281024,631939,0.493308,0.826641,483.672,2648.54,0.00072818,0.0
109,2.624371,0.773125,0.63824,0.85132,1281024,632819,0.493995,0.827328,501.82,2552.75,0.00072343,0.0
110,2.613331,0.775277,0.63646,0.8514,1281024,633747,0.494719,0.828052,499.393,2565.16,0.00071865,0.0
111,2.603624,0.776956,0.6342,0.84726,1281024,634347,0.495187,0.828521,499.514,2564.54,0.00071385,0.0
112,2.595775,0.777904,0.64092,0.8504,1281024,635209,0.49586,0.829194,501.898,2552.36,0.00070903,0.0
113,2.58476,0.779806,0.63902,0.84984,1281024,635924,0.496418,0.829752,514.804,2488.37,0.00070418,0.0
114,2.578115,0.780856,0.6386,0.84936,1281024,636464,0.49684,0.830173,502.191,2550.87,0.00069931,0.0
115,2.565626,0.782591,0.63634,0.84966,1281024,637412,0.49758,0.830913,481.435,2660.84,0.00069441,0.0
116,2.554431,0.784252,0.64318,0.85174,1281024,638505,0.498433,0.831767,500.393,2560.03,0.0006895,0.0
117,2.540767,0.785849,0.64682,0.85486,1281024,639470,0.499187,0.83252,496.06,2582.4,0.00068456,0.0
118,2.535124,0.787136,0.64308,0.85312,1281024,639905,0.499526,0.832859,496.102,2582.18,0.0006796,0.0
119,2.522086,0.789243,0.64436,0.85364,1281024,641014,0.500392,0.833725,497.614,2574.33,0.00067462,0.0
120,2.514365,0.790298,0.63674,0.8476,1281024,641641,0.500881,0.834215,498.593,2569.28,0.00066962,0.0
121,2.502689,0.792383,0.64086,0.85074,1281024,642474,0.501532,0.834865,497.419,2575.34,0.0006646,0.0
122,2.491843,0.793866,0.64914,0.855,1281024,643618,0.502425,0.835758,516.495,2480.23,0.00065956,0.0
123,2.482973,0.795036,0.64744,0.856,1281024,644254,0.502921,0.836254,510.338,2510.15,0.00065451,0.0
124,2.464948,0.797543,0.65014,0.85576,1281024,646019,0.504299,0.837632,485.167,2640.38,0.00064944,0.0
125,2.459865,0.79879,0.64642,0.85356,1281024,646300,0.504518,0.837852,502.643,2548.58,0.00064435,0.0
126,2.452372,0.799687,0.64754,0.85502,1281024,646960,0.505033,0.838367,509.423,2514.66,0.00063924,0.0
127,2.437023,0.801434,0.64808,0.85562,1281024,648340,0.506111,0.839444,526.756,2431.91,0.00063412,0.0
128,2.428515,0.803223,0.64542,0.85328,1281024,649094,0.506699,0.840033,510.656,2508.59,0.00062898,0.0
129,2.422232,0.804226,0.64778,0.8557,1281024,649690,0.507165,0.840498,509.486,2514.34,0.00062383,0.0
130,2.407109,0.806366,0.65258,0.8557,1281024,650972,0.508165,0.841499,426.126,3006.21,1.6e-07,0.0
131,2.403555,0.807442,0.64752,0.85288,1281024,651309,0.508428,0.841762,352.232,3636.87,0.00061348,0.0
132,2.389755,0.80945,0.64788,0.85254,1281024,652753,0.509556,0.842889,321.944,3979.03,0.00060829,0.0
133,2.378738,0.81122,0.6512,0.85546,1281024,653422,0.510078,0.843411,336.91,3802.28,0.00060309,0.0
134,2.365865,0.812546,0.648,0.85488,1281024,654859,0.5112,0.844533,305.099,4198.71,0.00059787,0.0
135,2.36256,0.813806,0.649,0.85456,1281024,655078,0.511371,0.844704,387.502,3305.85,0.00059264,0.0
136,2.35035,0.815483,0.65108,0.85638,1281024,656281,0.51231,0.845643,515.97,2482.75,0.00058741,0.0
137,2.34406,0.816571,0.65358,0.85696,1281024,656572,0.512537,0.84587,725.108,1766.67,0.00058216,0.0
138,2.329392,0.81829,0.65632,0.85856,1281024,658472,0.51402,0.847353,441.006,2904.78,0.0005769,0.0
