epoch,examples_used,effective_examples_used,effective_ratio,train_accuracy,test_accuracy,train_loss
37,50000,2790,0.0558,0.9854,0.7523,0.7725521592157227
38,50000,2696,0.05392,0.98828,0.7473,0.650280615238815
39,50000,2752,0.05504,0.9864,0.7621,0.736877761401084
40,50000,2546,0.05092,0.98918,0.7405,0.6754965243899093
41,50000,2278,0.04556,0.98774,0.7391,0.7400548553132281
42,50000,2460,0.0492,0.98964,0.7447,0.6520134273308272
43,50000,2247,0.04494,0.98718,0.737,0.8053828304519459
44,50000,2471,0.04942,0.99012,0.7365,0.6575038989967837
45,50000,2572,0.05144,0.99136,0.7142,0.5744186496856262
46,50000,2246,0.04492,0.9888,0.741,0.7456444666853973
47,50000,2140,0.0428,0.9908,0.7261,0.6475087243455405
48,50000,1985,0.0397,0.9893,0.7364,0.7776044177613697
49,50000,2112,0.04224,0.9902,0.7285,0.7240683114042088
50,50000,2105,0.0421,0.99316,0.7361,0.6071828806734815
51,50000,2368,0.04736,0.99108,0.7488,0.6206752622918207
52,50000,2100,0.042,0.98314,0.6803,1.061911705159107
53,50000,3879,0.07758,0.98652,0.7568,0.5217823268731638
54,50000,2586,0.05172,0.99314,0.6514,0.5315857526409079
55,50000,2559,0.05118,0.99192,0.738,0.5487838099729649
56,50000,2295,0.0459,0.99058,0.7502,0.6742549238688483
57,50000,1976,0.03952,0.99316,0.7501,0.6161856972137276
58,50000,1782,0.03564,0.99062,0.7375,0.7450373780210408
59,50000,1890,0.0378,0.99134,0.7466,0.7404785382428339
60,50000,1895,0.0379,0.99258,0.7546,0.6372466296413724
61,50000,1937,0.03874,0.99318,0.747,0.6469463542179794
62,50000,1821,0.03642,0.99152,0.7574,0.6978140086011619
63,50000,1773,0.03546,0.99172,0.7587,0.6970744505904767
64,50000,2154,0.04308,0.9928,0.7521,0.6086217237218302
65,50000,1942,0.03884,0.99366,0.7515,0.5921580395376196
66,50000,1904,0.03808,0.99226,0.7382,0.7808486805582533
67,50000,1871,0.03742,0.99296,0.7375,0.619600339925715
68,50000,1553,0.03106,0.9936,0.7359,0.6417680259565918
69,50000,1861,0.03722,0.99108,0.6983,0.7061516553239555
70,50000,1746,0.03492,0.99284,0.7463,0.7133012727207068
71,50000,1735,0.0347,0.99378,0.7472,0.6475384047216907
72,50000,1645,0.0329,0.99404,0.7468,0.6110695607352014
73,50000,1973,0.03946,0.99118,0.7328,0.7972533775455489
74,50000,1680,0.0336,0.9938,0.7483,0.689614864940546
75,50000,1731,0.03462,0.99416,0.7447,0.5664045425626089
76,50000,1668,0.03336,0.99402,0.7609,0.6841124625382374
77,50000,1548,0.03096,0.99492,0.7368,0.5883899459007139
78,50000,1733,0.03466,0.99282,0.7553,0.6541623479249526
79,50000,1517,0.03034,0.99474,0.734,0.6165771988049453
80,50000,2837,0.05674,0.98168,0.7587,0.9828937536827764
81,50000,2891,0.05782,0.99836,0.7595,0.2584130717821571
82,50000,1655,0.0331,0.99402,0.7499,0.6687645980023912
83,50000,1752,0.03504,0.99376,0.7438,0.6669731833496872
84,50000,1594,0.03188,0.99344,0.7437,0.6895731261038051
85,50000,1584,0.03168,0.99452,0.7433,0.6144820695400847
86,50000,1564,0.03128,0.99406,0.7446,0.7037093068796153
87,50000,1629,0.03258,0.99498,0.7413,0.579072389010416
88,50000,1546,0.03092,0.99482,0.7557,0.6442580344915694
89,50000,1514,0.03028,0.99518,0.7448,0.6049264608407203
90,50000,1648,0.03296,0.99418,0.7572,0.6459975828587705
91,50000,1632,0.03264,0.9956,0.7444,0.6277592791700546
92,50000,1428,0.02856,0.99532,0.7376,0.5811447050916602
93,50000,1581,0.03162,0.99454,0.7539,0.6348773203790188
94,50000,1623,0.03246,0.99578,0.746,0.5985031586558539
95,50000,1456,0.02912,0.995,0.7431,0.6803679936470426
96,50000,1558,0.03116,0.9951,0.757,0.6342910438091779
97,50000,1730,0.0346,0.99506,0.7549,0.6310908595974348
98,50000,1535,0.0307,0.99696,0.753,0.43529126036684124
